lags time_steps dense_nodes lstm_nodes processed scales                        epochs l2 learning_rate mean_mae mean_mape mean_mse                         std mae std_mape std_mse 
[1, 12, 24, 48], [24, 15, 15, 15], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 6.080276157263322 39.10772977363099 40.95857411835054 0.09247011904035857 0.5393823840558379 1.291490823400832 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 6.8427697348798855 44.08040386349427 53.641136661708614 0.35280970893421265 2.1997447716049923 5.231453155805684 
[1, 12, 24, 48], [24, 15, 15, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 6.846101136070159 43.83343645959901 52.18132498876823 0.15354789540083913 1.0045551202340421 2.5349805337398554 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 7.000580585055054 45.460938169156535 59.39861825306658 0.9794131443001733 6.1616710388390485 14.64940741501642 
[1, 12, 24, 48], [24, 15, 15, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 6.7099117473655685 43.00893451166481 50.22420762131924 0.15364690531476705 1.0482383799369834 2.712715649909699 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 7.011812597699395 44.94097018322502 55.08129436515677 0.3494621233155609 2.2720322914900204 5.734223083496319 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 6.892023383011765 44.107645389357586 52.79694577355385 0.2932054368711004 1.8313561522052642 4.374666683074719 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 6.733685671514728 43.74870310928311 54.700818135970394 0.6378604163276341 3.9639826398171856 9.15771384134123 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 6.709293053902409 43.03836861867395 50.40144585865093 0.09812314207907515 0.6288529682222492 1.5970088962103932 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 7.051786320181425 45.152122293298774 55.411677639329994 0.11691598589110812 0.7038743403916571 1.6446036651372886 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 6.754849738144903 43.25720000145048 50.857113034137114 0.3022826173923603 1.9013291404252457 4.627127586717904 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 7.02893198689163 45.02294730526381 55.14391693407591 0.4265651607564699 2.7051520526969917 6.6731452985063315 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 7.164912276222751 45.891501443825696 57.42874537521152 0.44131142965565817 2.816277646952922 7.074768630019561 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 7.051031129426702 45.68650426425484 59.34964244384192 1.5001459499479306 9.41844488607939 21.505936927963482 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 6.851273646066448 44.32992963211058 55.06982309242623 0.589202565782312 3.6439482127921097 8.442496119187833 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 6.696099609425085 42.954320173986844 50.234427412453265 0.13365392194178344 0.8098092418281853 1.9765141655642708 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 6.802056328427047 43.528698945494654 51.32691658002293 0.084981894391872 0.5364448029223149 1.3181049789290162 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 6.954664081557067 45.4303354632529 60.74566766924205 1.0503289937347862 6.5728116194424615 15.770538340719883 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 6.774655729571495 43.397881051664136 51.18215486423649 0.24736317725215595 1.5754434056928814 3.8483155156769246 
