lags time_steps dense_nodes lstm_nodes processed scales                        epochs l2 learning_rate mean_mae mean_mape mean_mse                         std mae std_mape std_mse 
[1, 12, 24, 48], [24, 15, 15, 15], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 3.5802725888066407 37.17516465199103 16.329439971153267 0.07120189372560497 0.14527641204653086 0.4941003710093315 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 4.647537566278423 41.43400550461964 28.477551458148206 0.641499675131639 2.2724835460801764 6.951191571335684 
[1, 12, 24, 48], [24, 15, 15, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 3.9781154648985164 38.315255484671134 19.966689262760596 0.273486788121949 0.7993537246982636 2.569165142172114 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 4.470956519550177 40.43443607637859 25.928034944790106 0.6503915508088786 3.0125577004014183 8.209957208030715 
[1, 12, 24, 48], [24, 15, 15, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 3.9462022140421382 38.15933266461449 19.50292317633798 0.10727581700397518 0.35498238131874277 1.1350946770061454 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 4.645118627951169 43.04819242601392 30.197206001827436 0.9323915223786945 3.6119446165515074 11.02936208073431 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 4.471212365060717 41.03726487703477 26.973412969901528 0.7458350715240244 3.747081121143971 9.806250191763919 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 4.10287293198546 38.68494448062385 21.134188635291878 0.18976360102307216 0.6151614835537734 1.924845794561579 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 3.9742466076472427 38.203214859200926 19.692680529167838 0.03947303123340904 0.15325868639265547 0.4606592195938765 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 4.641728913210885 41.45940295171444 28.51822951413372 0.500778353400414 2.3058688007382906 6.3140651182006415 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 3.9696660461892477 38.25234735715148 19.765031953497672 0.22078932358961603 0.665883509155829 2.1181218218710365 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 4.655597687156595 42.65493914943864 29.30876606638899 0.7095409518497258 2.5914931061799122 7.967959527141114 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 4.706827092550195 41.511601460546565 28.823742918759866 0.5369771731732893 2.483629181207216 6.788799367895543 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 4.520925271712037 42.079217243687964 27.659712294083494 0.6187598725535155 3.6287870793080406 7.825853286307255 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 3.9432415149191877 38.151931528368635 19.459521083810976 0.17725659245569156 0.5676318803839929 1.7914407871199158 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 3.971287109188597 38.22649766202363 19.71942422019978 0.13459741734582378 0.42873622971422826 1.3393660695429435 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 4.15020351729611 39.367325446856 22.625656435685073 0.5059088908412328 2.1214757954380357 5.9617212396905845 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 3.9572902938304466 38.12822419423124 19.445738421084307 0.0796268542040201 0.24533567001062254 0.7994607815692912 
