lags time_steps dense_nodes lstm_nodes processed scales                        epochs l2 learning_rate mean_mae mean_mape mean_mse                         std mae std_mape std_mse 
[1, 12, 24, 48], [24, 15, 15, 15], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 1.6852016186367167 34.29600609088545 5.050599499776662 0.06309275094281142 1.3739253123898238 0.15860317702833496 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 3.019314294275569 56.86191047673482 13.855567594140862 0.7303544297740958 8.325812391539044 5.463854327351129 
[1, 12, 24, 48], [24, 15, 15, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.0611166199980717 38.882636715211724 6.810271254963908 0.24713392448368035 3.613521701827935 1.3632065957856796 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.5723649957736408 49.62055615971602 9.996139933569328 0.40505593420478997 4.551200501875877 2.6916308575589416 
[1, 12, 24, 48], [24, 15, 15, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.408044699203068 44.47035662899526 8.933951365173177 0.1654623237796138 2.4090304270787346 1.1409785545501536 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.350228487248498 45.67511415297213 8.33164847159056 0.22495069348540972 6.902839526625112 1.4267789924781225 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 1.8442869812385694 38.417532605268015 5.565449813464831 0.05233969707399108 3.5345616954946384 0.2926236327079447 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.3522275318942825 43.815328810218986 8.425959692411407 0.15602938797982746 1.7355553790562628 0.9731603624025512 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.5707045018002304 47.397492984225536 10.008102431395887 0.28471391380582317 4.514308408046763 2.0032312337053644 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.117209824616607 42.05926699276247 7.067425052430329 0.3069764817025537 1.950728344735891 1.8618756754823256 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.2055416498872686 41.47554173924457 7.523001920579979 0.10118587318031294 1.5678733255028994 0.5846996331335221 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.6698369953887946 50.91025858028132 10.981407668197752 0.5737813244562754 6.897749120126225 4.391362852374683 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 1.9090866788870962 38.57000354118845 5.9469184157362465 0.18955602876607994 2.3452753224880416 0.9817312426869467 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.4113556575781527 46.2585886369328 8.828844011133539 0.2952855609571111 3.370271965320421 1.9551384426886687 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.78315209706301 52.97925561654961 11.43501192081018 0.2383808769559323 8.185336220411024 1.5599012802008836 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.1355561434026393 39.139547801978026 7.202795882788355 0.2309473564203659 2.39366424651228 1.290330015349977 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.046939021844141 39.359396523724016 6.60544042006193 0.09848028820327416 3.4147851675506344 0.6548480491849863 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.230531409380371 41.01350896038753 7.687469396959585 0.09064522915415102 1.892934305009815 0.47348703893840915 
