lags time_steps dense_nodes lstm_nodes processed scales                        epochs l2 learning_rate mean_mae mean_mape mean_mse                         std mae std_mape std_mse 
[1, 12, 24, 48], [24, 15, 15, 15], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 1.783668475933028 36.24164563793673 4.416768811946348 0.01884721457679275 0.2960220108246588 0.06614915342368917 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.121062159620829 40.8311283596311 6.605045371818679 0.2014177349158743 8.162966150282843 1.5263916959802037 
[1, 12, 24, 48], [24, 15, 15, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 1.9432006526606298 35.379323672869816 5.2194715872858035 0.09812042911152952 0.6472775781789666 0.6665112277701679 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 1.9755248106705303 35.348782038091734 5.31064793381243 0.023051409541192367 1.2300247996647893 0.2754184018555489 
[1, 12, 24, 48], [24, 15, 15, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.008834989044746 35.65987711606499 5.60737804990374 0.10088525138573014 1.598936242574975 0.8247444958227819 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.864971554010382 56.80584215719573 12.347444821243569 0.46027233993127004 12.640415309363437 3.7915737107382443 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.193510977843121 43.45491672243668 7.150563244809132 0.234408509486602 7.842300664549799 1.7974866187272138 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 1.9658184618618066 34.75423659527878 5.2213233559492425 0.048883689398574466 0.16418013889071265 0.4212052053655526 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 1.9875529520825173 35.031517035261864 5.434804474533538 0.0566452474886886 0.5342571576861036 0.5193524278353643 
[1, 12, 24, 48], [24, 5, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.015568189164589 42.424635754058514 5.8958592116544395 0.09920665072082364 4.35231364724259 0.7497960581158823 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 1.9984226769704236 35.13816845476544 5.468579653346592 0.031523554428224944 0.9034802335715442 0.3755182463933549 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.4337817867890488 46.6994088618043 9.015994865935307 0.41729372461214576 12.430379435581468 3.275859848086536 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 10, 10, 10], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 2.263290495505108 45.47249760871187 7.630582038365678 0.351652303186026 13.017605725459374 2.7450877145502512 
[1, 12, 24, 48], [24, 10, 5, 5], [1, 10, 10, 10], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.1469105785348006 40.827134978179934 6.736863415129276 0.21635065900655923 6.824631745765985 1.5982945477336108 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 1.9578203716356721 34.80042743255278 5.2021061528550465 0.05101425392961872 0.2148891877513787 0.41155438465101213 
[1, 12, 24, 48], [24, 15, 5, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 1.9957162933531045 35.38945350038422 5.519788955789636 0.06595607887669876 0.9156989073479818 0.5711180061298999 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 5, 5, 5], [5, 5, 5, 5], [0, 1, 2, 3], 1, 0.001 1.9350390812273102 36.37287108097441 5.322952272656437 0.1146346748552412 1.1094982929583035 0.7098873992146274 
[1, 12, 24, 48], [24, 15, 10, 5], [1, 5, 5, 5], [10, 10, 10, 10], [0, 1, 2, 3], 1, 0.001 2.0237612571725623 35.87018270001465 5.7763897327082985 0.05814733317226938 1.1021570451924187 0.46860236667289135 
